proteome name: mcrA count, hsp70 count
proteome_01: 0, 4
proteome_02: 0, 4
proteome_03: 0, 4
proteome_04: 0, 4
proteome_05: 0, 4
proteome_06: 0, 4
proteome_07: 0, 4
proteome_08: 0, 4
proteome_09: 0, 4
proteome_10: 0, 4
proteome_11: 0, 4
proteome_12: 0, 4
proteome_13: 0, 4
proteome_14: 0, 4
proteome_15: 0, 4
proteome_16: 0, 4
proteome_17: 0, 4
proteome_18: 0, 4
proteome_19: 0, 4
proteome_20: 0, 4
proteome_21: 0, 4
proteome_22: 0, 4
proteome_23: 0, 4
proteome_24: 0, 4
proteome_25: 0, 4
proteome_26: 0, 4
proteome_27: 0, 4
proteome_28: 0, 4
proteome_29: 0, 4
proteome_30: 0, 4
proteome_31: 0, 4
proteome_32: 0, 4
proteome_33: 0, 4
proteome_34: 0, 4
proteome_35: 0, 4
proteome_36: 0, 4
proteome_37: 0, 4
proteome_38: 0, 4
proteome_39: 0, 4
proteome_40: 0, 4
proteome_41: 0, 4
proteome_42: 0, 4
proteome_43: 0, 4
proteome_44: 0, 4
proteome_45: 0, 4
proteome_46: 0, 4
proteome_47: 0, 4
proteome_48: 0, 4
proteome_49: 0, 4
proteome_50: 0, 4
