proteome,mcr,hsp
01,0,4
02,0,2
03,1,3
04,0,4
05,1,2
06,0,0
07,1,2
08,0,5
09,0,1
10,0,3
11,0,6
12,0,6
13,0,3
14,0,1
15,1,1
16,1,1
17,0,3
18,0,8
19,2,1
20,0,3
21,0,5
22,0,9
23,2,2
24,1,2
25,0,5
26,0,1
27,0,1
28,0,1
29,1,0
30,0,1
31,0,7
32,0,4
33,0,0
34,0,1
35,0,1
36,0,3
37,0,1
38,1,1
39,1,1
40,0,2
41,0,1
42,1,3
43,0,3
44,1,1
45,1,3
46,0,2
47,0,1
48,1,1
49,0,3
50,1,3
