                 hsp70    mcrA
Proteome001        4        0
Proteome002        2        0
Proteome003        3        1
Proteome004        4        0
Proteome005        2        1
Proteome006        0        0
Proteome007        2        1
Proteome008        5        0
Proteome009        1        0
Proteome010        3        0
Proteome011        6        0
Proteome012        6        0
Proteome013        3        0
Proteome014        1        0
Proteome015        1        1
Proteome016        1        1
Proteome017        3        0
Proteome018        8        0
Proteome019        1        2
Proteome020        3        0
Proteome021        5        0
Proteome022        9        0
Proteome023        2        2
Proteome024        2        1
Proteome025        5        0
Proteome026        1        0
Proteome027        1        0
Proteome028        1        0
Proteome029        0        1
Proteome030        1        0
Proteome031        7        0
Proteome032        4        0
Proteome033        0        0
Proteome034        1        0
Proteome035        1        0
Proteome036        3        0
Proteome037        1        0
Proteome038        1        1
Proteome039        1        1
Proteome040        2        0
Proteome041        1        0
Proteome042        3        1
Proteome043        3        0
Proteome044        1        1
Proteome045        3        1
Proteome046        2        0
Proteome047        1        0
Proteome048        1        1
Proteome049        3        0
Proteome050        3        1
